soft,2,3,4,5,6,7,8,9,10,J,Q,K,A
13,H,H,H,Dh,Dh,H,H,H,H,H,H,H,H
14,H,H,H,Dh,Dh,H,H,H,H,H,H,H,H
15,H,H,Dh,Dh,Dh,H,H,H,H,H,H,H,H
16,H,H,Dh,Dh,Dh,H,H,H,H,H,H,H,H
17,H,Dh,Dh,Dh,Dh,H,H,H,H,H,H,H,H
18,S,Ds,Ds,Ds,Ds,S,S,H,H,H,H,H,H
19,S,S,S,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S,S,S,S
21,S,S,S,S,S,S,S,S,S,S,S,S,S
